,formation_name,mdrt,tvdss,thickness
0,Sea Bed,533.8,-512.0,
1,Barracouta Formation,533.8,-512.0,434.0
2,Oliver Limestone Formation,968.0,-946.0,1475.0
3,Prion Limestone Formation,2443.0,-2421.0,415.0
4,Grebe Limestone Formation,2858.0,-2835.4,817.0
5,Heywood Limestone Member,2858.0,-2835.4,602.0
6,Baudin Marl Member,3460.0,-3437.2,215.0
7,Johnson Formation,3675.0,-3652.3,244.0
8,Woolaston Gibson Fenalon Prudhoe Fm,3919.0,-3897.0,145.0
9,Jamieson Formation,4064.0,-4042.0,513.0
10,Montara Formation,4577.0,-4555.2,8.0
11,Plover Formation (Top Volcanics),4585.0,-4562.0,191.0
12,Plover Formation (Top Reservoir),4776.0,-4753.3,299.0
13,Nome Formation,5075.0,-5050.9,275.8
